scenario,policy,metric,mean,ci_low,ci_high,n
sc_high_workload,fixed,mean_gate_wait,285.2993228654731,227.19286835374237,345.6296349173519,12
sc_high_workload,fixed,mean_yard_wait,4.727785201452511,4.397416750597779,5.098940757910173,12
sc_high_workload,fixed,mean_total_wait,290.0271080669256,238.13332017673017,344.51229461023837,12
sc_high_workload,fixed,p95_total_wait,433.4660503624314,358.64366450113687,507.3183172416454,12
sc_high_workload,fixed,mean_turnaround,306.02603794590823,251.48155615885972,360.0920966066899,12
sc_high_workload,fixed,mean_gate_queue,207.93727858293076,169.63638360507244,247.1789104644726,12
sc_high_workload,fixed,mean_yard_queue,3.478464673913044,3.225044597926732,3.7643816047705307,12
sc_high_workload,fixed,p95_yard_queue,11.751111111111106,10.543541666666663,13.195513888888879,12
sc_high_workload,fixed,throughput_rate,0.9004278597654557,0.8981933546504284,0.9027354420247352,12
sc_high_workload,fixed,completion_rate,1.0,1.0,1.0,12
sc_high_workload,fixed,acceptance_rate,0.9163237425600644,0.9145017135684582,0.9184497491575523,12
sc_high_workload,fixed,gate_utilization,0.9999679196859903,0.9999037590579709,1.0,12
sc_high_workload,fixed,yard_utilization,0.9620703164611787,0.9601342573903049,0.963842070350857,12
sc_high_workload,fixed,yard_resource_hours_per_truck,0.18043120378621993,0.18007504544054534,0.18081394908627876,12
sc_high_workload,fixed,mean_composite_cost,3.0887335030586525,2.568160447500966,3.586505617932452,12
sc_high_workload,fixed,mean_quota,25.0,25.0,25.0,12
sc_high_workload,fixed,mean_yard_capacity,8.0,8.0,8.0,12
sc_high_workload,fixed,unstable,0.6666666666666666,0.4166666666666667,0.9166666666666666,12
sc_high_workload,fixed,queue_tail_slope,0.12242488731610258,0.011617420524902968,0.24016364318821865,12
sc_high_workload,fixed,terminal_system,0.0,0.0,0.0,12
sc_high_workload,fixed,uncompleted_at_drain_limit,0.0,0.0,0.0,12
sc_high_workload,fixed,drain_truncated,0.0,0.0,0.0,12
sc_high_workload,fixed,drain_minutes,423.0,338.87083333333334,508.27916666666664,12
sc_high_workload,fixed,first_queue_threshold_period,338.4166666666667,336.0,342.7520833333333,12
sc_high_workload,fixed,mean_net_queue_drift,0.1777626811594203,0.1332899305555556,0.224584842995169,12
sc_high_workload,fixed,tail_net_queue_drift,0.06742424242424243,-0.011751893939393939,0.1541761363636364,12
sc_high_workload,fixed,service_floor_binding_rate,0.11669685990338163,0.10620282306763285,0.12847410929951691,12
sc_high_workload,fixed,projection_binding_rate,0.0,0.0,0.0,12
sc_high_workload,gate_only,mean_gate_wait,20.7960867168005,19.48852961995392,22.35640095310852,12
sc_high_workload,gate_only,mean_yard_wait,3.826564700101128,3.6212739655563393,4.044999731134633,12
sc_high_workload,gate_only,mean_total_wait,24.622651416901622,23.161628491564414,26.312778234104865,12
sc_high_workload,gate_only,p95_total_wait,57.073691087957464,52.93166365044138,61.61286159256632,12
sc_high_workload,gate_only,mean_turnaround,40.62011024984125,39.307472566232356,42.1589749633341,12
sc_high_workload,gate_only,mean_gate_queue,15.227616747181962,14.196621565519326,16.336643581421097,12
sc_high_workload,gate_only,mean_yard_queue,2.7272091384863124,2.5771771839774558,2.8931075759863125,12
sc_high_workload,gate_only,p95_yard_queue,9.589722222222218,8.960249999999995,10.32479166666666,12
sc_high_workload,gate_only,throughput_rate,0.8780808667129004,0.8756286523821589,0.880495311226534,12
sc_high_workload,gate_only,completion_rate,1.0,1.0,1.0,12
sc_high_workload,gate_only,acceptance_rate,0.8930875698486197,0.8910077327879735,0.8950465609265336,12
sc_high_workload,gate_only,gate_utilization,0.9893493357487921,0.9881902771487521,0.9905628208031402,12
sc_high_workload,gate_only,yard_utilization,0.9460273796478162,0.9435002758566681,0.9484183692632421,12
sc_high_workload,gate_only,yard_resource_hours_per_truck,0.18502316219784645,0.18465525829447582,0.18537196996803976,12
sc_high_workload,gate_only,mean_composite_cost,0.5195576418500052,0.49992847527692746,0.5395826410255669,12
sc_high_workload,gate_only,mean_quota,23.85839371980676,23.796308876811597,23.916215655193238,12
sc_high_workload,gate_only,mean_yard_capacity,8.0,8.0,8.0,12
sc_high_workload,gate_only,unstable,0.3333333333333333,0.08333333333333333,0.5833333333333334,12
sc_high_workload,gate_only,queue_tail_slope,0.0011044148795960808,-0.018370433946481617,0.02200480933584268,12
sc_high_workload,gate_only,terminal_system,0.0,0.0,0.0,12
sc_high_workload,gate_only,uncompleted_at_drain_limit,0.0,0.0,0.0,12
sc_high_workload,gate_only,drain_truncated,0.0,0.0,0.0,12
sc_high_workload,gate_only,drain_minutes,31.666666666666668,27.24791666666667,35.75208333333333,12
sc_high_workload,gate_only,first_queue_threshold_period,426.5,378.4041666666667,496.3770833333333,12
sc_high_workload,gate_only,mean_net_queue_drift,-0.004755434782608696,-0.014732412439613526,0.002339975845410628,12
sc_high_workload,gate_only,tail_net_queue_drift,-0.0662878787878788,-0.09015151515151515,-0.04696022727272728,12
sc_high_workload,gate_only,service_floor_binding_rate,0.35945048309178745,0.3388435990338165,0.3788552989130435,12
sc_high_workload,gate_only,projection_binding_rate,0.0005283816425120773,0.00015096618357487922,0.000981280193236715,12
sc_high_workload,pto,mean_gate_wait,4.736682670255989,3.89835446654876,6.016636340647525,12
sc_high_workload,pto,mean_yard_wait,0.33506568866962483,0.27497721201046793,0.38386838935835393,12
sc_high_workload,pto,mean_total_wait,5.071748358925615,4.267175196056536,6.312273630637298,12
